listing_id,creation_date,loan_paid_date,first_installement_date,loan_paid_status,confirm_status,username,listing_title,listing_category,credit_score,job_loss_insurance,loan_amount,loan_period,effective_rate,preferred_rate,amount_outstanding,monthly_installment,principal_repaid,interest_paid,arrears,loan_status,type,gender,post_town,age,education,employment_status,occupation,employ_how_long,years_working_in_total,dependants,marital_status,credit_check_date,monthly_income,monthly_expenses,available_income,dti,outstanding_debts,last_debt_date
32598,2019-09-02,2019-09-03,2019-10-03,1,1,Loreta71,"""Paskolų refinansavimui",Consolidation of Other Loans,C,0,7080,48,0.22,0.22,7080.0,254.1,0.0,0.0,0.0,ok,FR,Female,Šakių r.,48,High school,Employed,Melžėja / Milkmaid,72 or more,30,1,Married,2019-09-02 00:00:00,1790,158,1632,0.2302,0,2017-07-04 00:00:00
32593,2019-09-02,2019-09-04,2019-10-04,1,1,Tadass950,"""32593-Vartojimui",Other Purposes,C,0,5060,48,0.22,0.22,5060.0,181.6,0.0,0.0,0.0,ok,FR,Male,Klaipėda,24,Post graduate,Employed,Elektromontuotojas / Electric installer,24,4,0,Single,2019-09-02 00:00:00,847,152,695,0.3939,0,-
32588,2019-09-02,2019-09-04,2019-10-04,1,1,Vitalijusjolanta,"""32588-Refinansavimui",Consolidation of Other Loans,D,0,2300,47,0.27,0.27,2300.0,92.75,0.0,0.0,0.0,ok,FR,Male,Kėdainių r.,35,Vocational education,Employed,Baldų gamintojas / Furniture producer,18,13,2,Married,2019-09-02 00:00:00,422,72,350,0.3904,0,2018-10-19 00:00:00
32569,2019-09-02,2019-09-03,2019-10-03,1,3,JolantaJ,"""Automobilio remontui",Car,B,0,335,12,0.13,0.13,0.0,303.37,303.37,0.0,0.0,ok,FR,Female,Mikalaučiškių k.,34,Graduate,Employed,Nekilnojamo turto vertintojas / Real Estate Appraiser,12,8,2,Married,2019-09-02 00:00:00,1606,0,1606,0.0193,0,-
32565,2019-09-01,2019-09-03,2019-10-03,1,1,Molodecno,"""32565-Vartojimo",Other Purposes,A,0,2640,24,0.12,0.12,2640.0,131.49,0.0,0.0,0.0,ok,FR,Female,Pabradė,39,High school,Employed,Virėja / Cook,72 or more,21,1,Married,2019-09-01 00:00:00,1888,430,1458,0.2974,0,-
32561,2019-09-01,2019-09-06,2019-10-06,1,1,Mantas19900112,"""32561-Varojimui",Other Purposes,D,0,1105,18,0.25,0.25,1105.0,79.55,0.0,0.0,0.0,ok,FR,Male,Panevėžys,29,Vocational education,Employed,Plytelių klojėjas / Tiler,3,4,0,Single,2019-09-01 00:00:00,524,0,524,0.1518,0,2019-08-05 00:00:00
32547,2019-08-31,2019-09-03,2019-10-03,1,1,69584872,"""32547-Remontas",Home Improvements,B,0,5400,60,0.17,0.17,5400.0,154.85,0.0,0.0,0.0,ok,FR,Female,Telšiai,48,Graduate,Employed,Pardavėja / Seller,18,20,0,Other,2019-08-31 00:00:00,408,6,402,0.3942,0,2012-10-17 00:00:00
32540,2019-08-31,2019-09-03,2019-10-03,1,1,56936725,"""32540-Vartojimo",Other Purposes,B,0,4895,36,0.14,0.14,4895.0,184.02,0.0,0.0,0.0,ok,FR,Male,Radviliškis,43,Vocational education,Employed,Plataus profilio statybininkas / Wide range construction worker,36,10,2,Single,2019-08-31 00:00:00,471,0,471,0.3907,0,2015-09-01 00:00:00
32499,2019-08-30,2019-09-02,2019-10-02,1,1,Jurgita790,"""32499-Vartojimui",Other Purposes,B,0,985,24,0.13,0.13,985.0,50.06,0.0,0.0,0.0,ok,FR,Female,Alytaus r.,40,Post graduate,Employed,Specialistė / Specialist,72 or more,13,0,Divorced,2019-08-30 00:00:00,817,226,591,0.3379,0,2011-01-30 00:00:00
32494,2019-08-30,2019-09-02,2019-10-02,1,1,Jurate81,"""32494-Vartojimui",Other Purposes,C,0,335,12,0.19,0.19,335.0,32.13,0.0,0.0,0.0,ok,FR,Female,Marijampolės apskr.,38,High school,Employed,Apsaugos darbuotoja / Security guard,24,8,1,Divorced,2019-08-30 00:00:00,577,28,549,0.1042,0,2018-05-30 00:00:00
32489,2019-08-30,2019-09-03,2019-10-03,1,1,74233862,"""32489-Vartojimui",Other Purposes,D,0,1105,18,0.25,0.25,1105.0,79.55,0.0,0.0,0.0,ok,FR,Male,Vilnius,31,High school,Employed,Plataus profilio darbuotojas / Wide range worker,72 or more,14,0,Single,2019-08-30 00:00:00,1161,341,820,0.3622,0,2018-03-17 00:00:00
32479,2019-08-30,2019-09-02,2019-10-02,1,1,VaidasM89,"""32479-Vartojimui",Other Purposes,D,0,3305,47,0.27,0.27,3305.0,133.27,0.0,0.0,0.0,ok,FR,Male,Klaipėda,30,Graduate,Self-Employed,Statybos inžinierius / Construction engineer,18,5,0,Single,2019-08-30 00:00:00,728,157,571,0.3987,0,2013-11-13 00:00:00
32471,2019-08-30,2019-09-02,2019-10-02,1,1,Duse,"""32471-Paskolų refinansavimui",Consolidation of Other Loans,C,0,4480,58,0.22,0.22,4480.0,146.59,0.0,0.0,0.0,ok,FR,Male,Panevėžys,47,Vocational education,Employed,Operatorius/Operator,18,25,0,Single,2019-08-22 00:00:00,457,29,428,0.3842,0,2014-01-10 00:00:00
32470,2019-08-30,2019-09-02,2019-10-02,1,1,AVP,"""32470-Vartojimui",Other Purposes,B,0,550,12,0.13,0.13,550.0,50.91,0.0,0.0,0.0,ok,FR,Male,Kaunas,41,Graduate,Employed,Projektų vadovas / Project manager,24,20,2,Divorced,2019-08-30 00:00:00,1439,364,1075,0.2883,0,-
32467,2019-08-30,2019-09-02,2019-10-02,1,1,V1680,"""32467-Automobiliui",Car,B,0,5440,48,0.15,0.15,5440.0,170.92,0.0,0.0,0.0,ok,FR,Male,Vilnius,51,High school,Employed,Apsaugos darbuotojas / Security Guard,48,26,1,Married,2019-08-30 00:00:00,1671,364,1307,0.3201,0,2018-10-02 00:00:00
32464,2019-08-30,2019-08-30,2019-09-30,1,1,Dangiriukas,"""32464-Paskolų refinansavimui",Consolidation of Other Loans,C,0,2125,36,0.21,0.21,2125.0,88.82,0.0,0.0,0.0,ok,FR,Female,Panevėžys,44,High school,Employed,Siuvėja / Seamstress,18,25,2,Married,2019-08-30 00:00:00,806,121,685,0.2603,0,2016-12-12 00:00:00
32442,2019-08-29,2019-08-30,2019-09-30,1,1,Dalius69,"""32442-Vartojimui",Other Purposes,B,0,1420,12,0.13,0.13,1420.0,131.43,0.0,0.0,0.0,ok,FR,Male,Vilnius,50,High school,Employed,Apsaugos darbuotojas / Security Guard,72 or more,25,0,Married,2019-08-29 00:00:00,1021,176,845,0.3011,0,2015-07-07 00:00:00
32434,2019-08-29,2019-08-30,2019-09-30,1,1,vaidas74,"""32434-Namų remontui",Home Improvements,A,0,1900,30,0.12,0.12,1900.0,78.89,0.0,0.0,0.0,ok,FR,Male,Rokiškio r.,45,Vocational education,Employed,Operatorius / Operator,36,20,0,Married,2019-08-29 00:00:00,407,0,407,0.1938,0,2017-09-05 00:00:00
